  Ti119:     5: 5540, 35, 291, 15479, 4756
  Ti120:     6: 4922, 5907, 15558, 6625, 6198, 4859
  Ti121:     5: 5713, 15322, 6532, 881, 15053
  Ti122:     5: 4631, 5291, 15140, 15622, 15271
  Ti123:     5: 5068, 6864, 15422, 1014, 4882
  Ti124:     5: 5608, 14900, 6009, 6260, 4735
  Ti125:     5: 4940, 15406, 6019, 15366, 6737
  Ti126:     5: 4811, 6806, 5905, 5705, 4772
  Ti127:     5: 5427, 15619, 175, 4777, 709
  Ti128:     5: 4848, 15139, 15504, 5015, 6144
  Ti129:     5: 74, 5138, 5207, 15518, 4701
  Ti130:     5: 81, 6165, 14812, 15525, 60
  Ti131:     5: 5322, 6202, 14713, 47, 5888
  Ti132:     5: 5128, 15587, 4576, 6370, 143
  Ti133:     5: 5274, 118, 6526, 15562, 444
  Ti134:     5: 4602, 14860, 15076, 5284, 141
  Ti135:     5: 4954, 15291, 799, 5194, 14778
  Ti136:     5: 4580, 5156, 5500, 4716, 6404
  Ti137:     5: 154, 6242, 14704, 348, 6161
  Ti138:     5: 5104, 6107, 15081, 15467, 6362
  Ti139:     6: 15248, 15521, 5135, 6748, 14991, 6522
  Ti140:     5: 126, 5187, 6211, 6542, 14852
  Ti141:     5: 4952, 4915, 927, 15332, 5994
  Ti142:     5: 4606, 5472, 14926, 5413, 6438
  Ti143:     5: 5036, 15677, 4932, 4849, 15342
  Ti144:     5: 4643, 5267, 6197, 14950, 15557
  Ti145:     6: 147, 6235, 318, 15591, 5108, 4742
  Ti146:     6: 4712, 5484, 14880, 15101, 133, 4561
  Ti147:     5: 6468, 5170, 15460, 6648, 16
  Ti148:     5: 5468, 14764, 14834, 5490, 14814
  Ti149:     6: 4763, 4774, 6609, 4625, 776, 5374
  Ti150:     5: 4714, 6473, 5812, 4567, 547
  Ti151:     5: 217, 5421, 15029, 15661, 516
  Ti152:     5: 4799, 5696, 4780, 5581, 6573
  Ti153:     5: 4966, 15185, 6697, 6435, 5869
  Ti154:     5: 4826, 15038, 15420, 15039, 215
  Ti155:     5: 4653, 15188, 6527, 5455, 4943
  Ti156:     5: 4833, 5725, 5791, 15195, 5029
  Ti157:     5: 223, 6326, 15347, 15667, 14981
  Ti158:     5: 178, 5390, 6269, 5147, 15019
  Ti159:     5: 5011, 5056, 5933, 972, 5862
  Ti160:     5: 170, 15614, 4921, 15006, 6611
  Ti161:     5: 6842, 15022, 4796, 6694, 970
  Ti162:     5: 15314, 5420, 937, 15328, 5958
  Ti163:     6: 15010, 6265, 6022, 5026, 4866, 5874
  Ti164:     5: 4980, 5670, 6750, 4626, 15337
  Ti165:     5: 4809, 15156, 6158, 6512, 858
  Ti166:     5: 97, 5246, 6181, 15541, 5214
  Ti167:     5: 4976, 15235, 6554, 6716, 5816
  Ti168:     5: 5475, 14715, 14792, 64, 14781
  Ti169:     5: 4667, 15206, 6215, 5385, 4864
  Ti170:     5: 4578, 5242, 6228, 15074, 15585
  Ti171:     6: 130, 4534, 6256, 6109, 14885, 15469
  Ti172:     5: 5140, 6244, 15599, 14844, 14977
  Ti173:     6: 38, 14741, 15482, 15598, 5690, 5089
  Ti174:     5: 4614, 5300, 5669, 4782, 155
  Ti175:     5: 77, 14886, 5166, 5794, 6555
  Ti176:     5: 4970, 15330, 14928, 4893, 6773
  Ti177:     5: 5044, 15421, 4767, 921, 5007
  Ti178:     5: 4887, 5698, 6657, 4746, 15110
  Ti179:     5: 5023, 5883, 4612, 5963, 6659
  Ti180:     5: 195, 4647, 5370, 6289, 15639
  Ti181:     6: 5258, 14674, 14749, 6106, 5563, 15553
  Ti182:     6: 5107, 6219, 6110, 15154, 26, 15470
