  Ti209:     3: 4436, 13574, 5494
  Ti210:     3: 4425, 5046, 13323
  Ti211:     3: 13604, 5234, 5385
  Ti212:     3: 13687, 577, 4345
  Ti213:     3: 4292, 13307, 4614
  Ti214:     3: 13666, 5309, 570
  Ti215:     3: 4281, 4714, 300
  Ti216:     4: 4476, 13626, 5664, 6069
  Ti217:     3: 22, 13781, 4546
  Ti218:     4: 119, 4827, 5846, 485
  Ti219:     4: 13421, 5687, 4717, 4659
  Ti220:     3: 4306, 4624, 13331
  Ti221:     3: 4196, 13460, 5782
  Ti222:     3: 13612, 523, 5242
  Ti223:     3: 4240, 5293, 4705
  Ti224:     3: 4307, 13609, 13615
  Ti225:     3: 4632, 13823, 13346
  Ti226:     3: 4341, 5229, 4822
  Ti227:     3: 13476, 4715, 5916
  Ti228:     3: 5088, 13613, 4228
  Ti229:     3: 13715, 13603, 438
  Ti230:     4: 4709, 5769, 13493, 13827
  Ti231:     3: 4511, 5451, 13757
  Ti232:     3: 68, 13358, 5569
  Ti233:     3: 4534, 5744, 6197
  Ti234:     3: 13558, 5509, 4386
  Ti235:     2: 4520, 13734
  Ti236:     3: 4313, 4817, 5952
  Ti237:     3: 13640, 574, 5661
  Ti238:     3: 104, 5821, 13512
  Ti239:     3: 5030, 4298, 13440
  Ti240:     3: 13309, 4739, 180
  Ti241:     3: 4708, 13882, 403
  Ti242:     3: 4192, 4585, 13490
  Ti243:     3: 5206, 13544, 5984
  Ti244:     3: 5156, 13584, 13553
  Ti245:     3: 4300, 4654, 13602
  Ti246:     3: 4357, 5248, 5533
  Ti247:     3: 13286, 13847, 28
  Ti248:     2: 13675, 5666
  Ti249:     3: 5703, 13787, 4550
  Ti250:     3: 4509, 13743, 5435
  Ti251:     4: 4607, 5791, 13844, 4207
  Ti252:     3: 4490, 5436, 13642
  Ti253:     3: 38, 5725, 13797
  Ti254:     3: 4346, 5217, 5557
  Ti255:     3: 13269, 4749, 4637
  Ti256:     3: 5258, 13653, 5400
  Ti257:     3: 79, 13319, 13838
  Ti258:     3: 13727, 620, 4498
  Ti259:     4: 95, 5803, 13854, 4872
  Ti260:     3: 5401, 4934, 4451
  Ti261:     3: 4187, 13426, 80
  Ti262:     4: 122, 5849, 13881, 4816
  Ti263:     3: 57, 13296, 13839
  Ti264:     4: 4648, 13338, 5812, 100
  Ti265:     4: 5754, 13816, 4883, 13473
  Ti266:     3: 4575, 5759, 13418
  Ti267:     3: 4475, 623, 5695
  Ti268:     3: 61, 13354, 13820
  Ti269:     3: 4522, 13742, 5708
  Ti270:     3: 5152, 13589, 4423
  Ti271:     2: 4488, 13693
  Ti272:     3: 142, 5875, 13901
  Ti273:     4: 428, 115, 5838, 5607
  Ti274:     3: 4249, 5042, 13386
  Ti275:     3: 4754, 13874, 13295
  Ti276:     4: 5753, 13454, 4853, 13815
  Ti277:     3: 4641, 13795, 325
  Ti278:     3: 56, 4631, 13337
  Ti279:     3: 5135, 13528, 5967
  Ti280:     3: 4383, 5024, 13468
  Ti281:     3: 88, 13368, 5795
  Ti282:     3: 149, 5884, 13908
  Ti283:     3: 13263, 4588, 4772
  Ti284:     3: 13406, 5610, 5256
  Ti285:     4: 6, 5622, 13765, 13408
  Ti286:     3: 4494, 13736, 643
  Ti287:     3: 4958, 254, 13410
  Ti288:     3: 4521, 5461, 13712
  Ti289:     3: 13436, 5839, 4628
  Ti290:     4: 4752, 13826, 440, 67
  Ti291:     4: 13456, 5269, 5203, 4250
  Ti292:     3: 4462, 13665, 5158
  Ti293:     3: 13595, 509, 5618
  Ti294:     3: 13696, 593, 5297
  Ti295:     3: 4663, 5387, 5163
  Ti296:     3: 4466, 13624, 13664
  Ti297:     3: 5784, 13306, 4291
  Ti298:     3: 4330, 13524, 5526
  Ti299:     3: 4574, 13299, 4997
  Ti300:     3: 4795, 13859, 424
  Ti301:     3: 5749, 13812, 13480
  Ti302:     3: 4640, 13320, 222
  Ti303:     3: 4406, 524, 4256
  Ti304:     3: 4316, 13645, 5559
  Ti305:     3: 4349, 5332, 13649
  Ti306:     3: 5376, 13699, 4503
  Ti307:     2: 4452, 13514
  Ti308:     3: 4342, 4833, 13631
  Ti309:     3: 13555, 507, 4239
  Ti310:     3: 4348, 503, 5492
  Ti311:     3: 4651, 13288, 197
  Ti312:     3: 5628, 13442, 13768
  Ti313:     3: 4554, 5723, 194
  Ti314:     3: 9, 4563, 13266
  Ti315:     3: 5095, 13412, 5762
  Ti316:     4: 4231, 4620, 5808, 13857
  Ti317:     3: 4185, 13462, 18
  Ti318:     2: 4337, 4814
  Ti319:     4: 13270, 4583, 20, 5679
  Ti320:     3: 13662, 5609, 5439
  Ti321:     3: 4549, 5681, 13779
  Ti322:     3: 4493, 13730, 634
  Ti323:     4: 4211, 4673, 13842, 83
  Ti324:     3: 4456, 5446, 13592
  Ti325:     3: 110, 13869, 4695
  Ti326:     4: 4566, 5768, 221, 10
  Ti327:     3: 13564, 5832, 4916
  Ti328:     3: 4376, 13357, 5004
  Ti329:     3: 4429, 555, 5589
  Ti330:     3: 13547, 465, 13905
  Ti331:     3: 4344, 13660, 4834
  Ti332:     3: 4839, 13404, 4363
  Ti333:     3: 5228, 13580, 13606
  Ti334:     3: 4458, 5252, 5598
  Ti335:     3: 4691, 13588, 512
  Ti336:     3: 5326, 13697, 4504
  Ti337:     3: 5358, 4280, 333
  Ti338:     3: 5263, 13659, 541
  Ti339:     3: 4666, 13321, 108
  Ti340:     3: 4496, 13726, 5672
  Ti341:     4: 96, 4785, 5804, 4602
  Ti342:     4: 5419, 13569, 4437, 5499
  Ti343:     3: 4299, 13310, 13855
  Ti344:     3: 4286, 13502, 4710
  Ti345:     3: 13448, 352, 13851
  Ti346:     3: 4242, 4726, 13853
  Ti347:     3: 4968, 4213, 13267
  Ti348:     3: 5713, 13417, 13790
  Ti349:     4: 4538, 5620, 13764, 13258
  Ti350:     3: 31, 4558, 13292
  Ti351:     3: 11, 5636, 4540
  Ti352:     3: 98, 4664, 13372
  Ti353:     3: 13271, 13770, 4615
  Ti354:     3: 4472, 13716, 5141
  Ti355:     3: 13414, 13777, 4561
  Ti356:     3: 628, 5692, 5665
  Ti357:     4: 4217, 4592, 190, 5121
  Ti358:     3: 4515, 13722, 589
  Ti359:     3: 4608, 5788, 13304
  Ti360:     3: 4262, 5246, 13422
  Ti361:     3: 13507, 5948, 5536
  Ti362:     4: 4543, 5630, 13769, 5711
  Ti363:     4: 13586, 5220, 461, 4428
  Ti364:     3: 13302, 4646, 258
  Ti365:     3: 13403, 436, 5597
  Ti366:     3: 5880, 13471, 4232
  Ti367:     4: 143, 5876, 13902, 4767
  Ti368:     3: 4809, 13634, 146
  Ti369:     3: 5319, 551, 13567
  Ti370:     3: 4468, 5239, 5601
  Ti371:     3: 4310, 5026, 13633
  Ti372:     3: 5434, 13711, 4453
  Ti373:     3: 13370, 5404, 13492
  Ti374:     3: 5322, 13723, 606
  Ti375:     4: 4728, 5829, 13429, 13867
  Ti376:     3: 4360, 13655, 5635
  Ti377:     3: 4190, 4629, 5823
  Ti378:     4: 5202, 13419, 4865, 4237
  Ti379:     3: 92, 4622, 13445
  Ti380:     4: 52, 5748, 13811, 13300
  Ti381:     3: 13281, 5800, 5694
  Ti382:     3: 94, 4652, 5802
  Ti383:     3: 24, 4586, 13783
  Ti384:     3: 13313, 5399, 215
  Ti385:     4: 4581, 5644, 13771, 165
  Ti386:     3: 4303, 4618, 13619
  Ti387:     4: 5678, 13268, 13776, 4634
  Ti388:     3: 4328, 5275, 13654
  Ti389:     3: 21, 4626, 13261
  Ti390:     3: 4519, 5697, 5453
  Ti391:     3: 5686, 13529, 13780
  Ti392:     3: 5274, 13725, 4464
  Ti393:     3: 4384, 495, 5154
  Ti394:     3: 13611, 13856, 5805
  Ti395:     4: 4701, 13887, 13506, 128
  Ti396:     3: 97, 13274, 4735
  Ti397:     3: 5268, 13591, 6036
  Ti398:     3: 4685, 13789, 326
  Ti399:     3: 13695, 5657, 5371
  Ti400:     3: 5844, 13289, 13876
  Ti401:     3: 4470, 538, 5605
  Ti402:     3: 13380, 117, 5114
  Ti403:     3: 4225, 13552, 4770
  Ti404:     2: 4327, 13583
  Ti405:     3: 4422, 5199, 429
  Ti406:     3: 4351, 5276, 5545
  Ti407:     3: 144, 4804, 13402
  Ti408:     3: 5238, 13656, 4273
  Ti409:     3: 5877, 13903, 4926
  Ti410:     4: 4829, 5845, 13620, 13877
  Ti411:     3: 5031, 13343, 4362
  Ti412:     3: 118, 13334, 5364
  Ti413:     4: 63, 5764, 13822, 4576
  Ti414:     3: 13846, 13303, 87
  Ti415:     3: 4223, 5007, 13450
  Ti416:     4: 43, 5734, 4768, 13340
  Ti417:     4: 13332, 264, 42, 5049
  Ti418:     3: 4260, 5080, 4438
  Ti419:     4: 4565, 5733, 13407, 13801
  Ti420:     3: 13581, 5660, 526
  Ti421:     3: 4636, 5801, 93
  Ti422:     3: 4510, 5259, 13748
  Ti423:     3: 13447, 5887, 5260
  Ti424:     3: 4513, 5472, 13747
  Ti425:     3: 4199, 13428, 124
  Ti426:     3: 4482, 5702, 5392
  Ti427:     4: 13548, 4707, 5852, 4400
  Ti428:     3: 13614, 13834, 5530
  Ti429:     3: 13388, 390, 5266
  Ti430:     4: 4317, 13515, 4744, 393
  Ti431:     3: 4746, 5856, 4221
  Ti432:     3: 4253, 13469, 5909
  Ti433:     3: 5414, 13618, 6059
  Ti434:     3: 4302, 5280, 13518
  Ti435:     3: 13719, 5690, 627
  Ti436:     3: 4368, 4812, 425
  Ti437:     3: 4483, 13405, 448
  Ti438:     3: 13672, 5568, 5356
  Ti439:     3: 148, 5882, 13907
  Ti440:     3: 4419, 13884, 13636
  Ti441:     3: 4427, 5370, 13571
  Ti442:     3: 125, 5853, 4819
  Ti443:     3: 4358, 4836, 13671
  Ti444:     3: 4672, 13872, 13341
  Ti445:     3: 13539, 5537, 458
  Ti446:     3: 4760, 13501, 399
  Ti447:     3: 5043, 13348, 4279
  Ti448:     3: 4254, 13467, 4876
  Ti449:     3: 65, 5766, 13824
  Ti450:     3: 4670, 5794, 13434
  Ti451:     2: 4367, 13554
  Ti452:     3: 4201, 4668, 13802
  Ti453:     3: 13597, 533, 5489
  Ti454:     3: 5311, 13521, 4447
  Ti455:     4: 4617, 13312, 13489, 204
  Ti456:     3: 13705, 5732, 631
  Ti457:     3: 4667, 13852, 304
  Ti458:     3: 4533, 5469, 13759
  Ti459:     3: 4993, 13451, 5891
  Ti460:     3: 4535, 5479, 13754
  Ti461:     3: 4791, 13373, 277
  Ti462:     2: 5648, 5255
  Ti463:     3: 13563, 13883, 4919
  Ti464:     2: 5778, 13491
  Ti465:     4: 4397, 13543, 5096, 510
  Ti466:     3: 75, 13355, 4580
  Ti467:     3: 4765, 13896, 137
  Ti468:     3: 4407, 13683, 5067
  Ti469:     3: 5438, 13638, 6081
  Ti470:     3: 4507, 5467, 640
  Ti471:     3: 13731, 5707, 636
  Ti472:     3: 4526, 5355, 13728
  Ti473:     3: 4492, 5443, 603
  Ti474:     3: 13752, 648, 5465
  Ti475:     4: 4378, 4849, 13681, 490
  Ti476:     2: 4484, 13740
  Ti477:     3: 4486, 630, 13643
  Ti478:     3: 4332, 13513, 5554
  Ti479:     3: 4454, 5272, 13710
  Ti480:     3: 113, 4711, 5835
  Ti481:     3: 13599, 5566, 529
  Ti482:     3: 5059, 13375, 323
  Ti483:     3: 4682, 13813, 5314
  Ti484:     3: 4382, 13534, 5282
  Ti485:     3: 4203, 13437, 4681
  Ti486:     3: 4689, 5818, 13316
  Ti487:     3: 4432, 5301, 5294
  Ti488:     4: 99, 5809, 13858, 4862
  Ti489:     3: 13623, 549, 5621
  Ti490:     3: 5127, 13371, 4319
  Ti491:     3: 5099, 4288, 13305
  Ti492:     3: 13713, 5705, 641
  Ti493:     3: 4593, 173, 13280
  Ti494:     3: 4529, 5476, 13756
  Ti495:     4: 34, 5719, 13793, 4548
  Ti496:     3: 4531, 5468, 13739
  Ti497:     3: 4276, 13478, 4840
  Ti498:     3: 4333, 5560, 13516
  Ti499:     4: 13565, 5065, 4301, 5267
  Ti500:     3: 5780, 13836, 4891
  Ti501:     3: 13389, 359, 4771
  Ti502:     3: 77, 13364, 365
  Ti503:     3: 4821, 5869, 4315
  Ti504:     3: 4479, 5195, 13724
  Ti505:     3: 5454, 13703, 6143
  Ti506:     3: 4525, 5351, 13753
  Ti507:     3: 13749, 5693, 5362
  Ti508:     3: 4532, 5475, 651
  Ti509:     3: 4517, 614, 5688
  Ti510:     3: 13758, 5745, 5480
  Ti511:     4: 4518, 13737, 5455, 617
  Ti512:     2: 13755, 4530
  Ti513:     3: 4528, 5470, 13745
  Ti514:     3: 4457, 5278, 5668
  Ti515:     3: 4430, 5194, 13701
  Ti516:     3: 4729, 13590, 5834
  Ti517:     3: 13353, 5471, 348
  Ti518:     3: 13527, 496, 13325
  Ti519:     4: 54, 4555, 5750, 5737
  Ti520:     3: 4243, 13470, 5147
  Ti521:     4: 86, 5792, 13845, 13275
  Ti522:     3: 4720, 13862, 13446
  Ti523:     3: 4415, 13550, 13551
  Ti524:     3: 4188, 201, 4612
  Ti525:     3: 13390, 417, 120
  Ti526:     3: 4755, 13430, 5830
  Ti527:     3: 4676, 5847, 13879
  Ti528:     3: 13651, 5596, 581
  Ti529:     4: 4603, 5776, 13262, 13832
  Ti530:     3: 4471, 5432, 13714
  Ti531:     3: 1, 5612, 4537
  Ti532:     3: 4491, 5425, 13647
  Ti533:     3: 4214, 13411, 13760
  Ti534:     3: 151, 5886, 13910
  Ti535:     4: 13318, 4587, 107, 5656
  Ti536:     3: 5143, 13400, 5440
  Ti537:     3: 5826, 13866, 13517
  Ti538:     3: 4326, 13652, 580
  Ti539:     3: 5176, 4312, 13510
  Ti540:     3: 4523, 5691, 6178
  Ti541:     2: 5384, 13578
  Ti542:     4: 4778, 5775, 456, 72
  Ti543:     3: 13680, 5576, 4377
  Ti544:     3: 5447, 13678, 601
  Ti545:     3: 4850, 491, 5885
  Ti546:     3: 13733, 5757, 4487
  Ti547:     4: 4485, 13644, 5359, 644
  Ti548:     3: 5478, 13741, 4536
  Ti549:     3: 4524, 607, 13750
  Ti550:     3: 4473, 13617, 5413
  Ti551:     3: 4446, 5187, 13694
  Ti552:     3: 112, 4780, 13871
  Ti553:     3: 13350, 5542, 336
  Ti554:     3: 4613, 5738, 13806
  Ti555:     4: 46, 4621, 13805, 260
  Ti556:     3: 47, 13324, 5279
  Ti557:     3: 4197, 13423, 5287
  Ti558:     3: 4234, 4966, 4828
  Ti559:     2: 4418, 13561
